id,initialized,answered,abandoned,is_abandoned
CAL-INT-000001,2024-03-04 10:10:33,2024-03-04 10:12:34.370,,0
CAL-INT-000002,2024-03-04 09:17:38,2024-03-04 09:20:20.010,,0
CAL-INT-000003,2025-03-13 09:20:17,2025-03-13 09:21:10.120,,0
CAL-INT-000020,2024-01-06 09:54:16,2024-01-06 09:56:22.500,,0
CAL-INT-000021,2024-10-11 19:55:19,2024-10-11 19:56:54.420,,0
CAL-INT-000029,2024-07-06 10:45:20,2024-07-06 10:46:33.630,,0
CAL-INT-000030,2024-07-06 09:01:27,2024-07-06 09:02:52.980,,0
CAL-INT-000034,2024-03-08 09:23:04,2024-03-08 09:24:43.460,,0
CAL-INT-000040,2025-04-24 20:49:24,2025-04-24 20:50:15.240,,0
CAL-INT-000041,2025-04-24 20:37:13,2025-04-24 20:38:38.070,,0
CAL-INT-000042,2024-04-18 09:47:42,2024-04-18 09:48:44.120,,0
CAL-INT-000044,2024-01-11 19:45:02,2024-01-11 19:45:21.670,,0
CAL-INT-000045,2024-01-11 20:05:50,2024-01-11 20:07:42.590,,0
CAL-INT-000046,2024-01-11 08:42:21,2024-01-11 08:44:29.240,,0
CAL-INT-000047,2024-01-11 21:26:52,2024-01-11 21:28:09.040,,0
CAL-INT-000048,2024-01-11 20:17:59,2024-01-11 20:19:28.960,,0
CAL-INT-000053,2024-11-07 19:45:02,2024-11-07 19:46:05.890,,0
CAL-INT-000054,2024-11-08 09:58:14,2024-11-08 09:59:20.530,,0
CAL-INT-000055,2024-11-08 09:18:59,2024-11-08 09:20:10.160,,0
CAL-INT-000062,2024-10-12 10:52:15,2024-10-12 10:54:52.240,,0
CAL-INT-000063,2024-04-23 19:12:49,2024-04-23 19:14:18.930,,0
CAL-INT-000064,2024-12-11 20:42:28,2024-12-11 20:43:11.960,,0
CAL-INT-000065,2023-10-29 10:46:15,2023-10-29 10:48:03.710,,0
CAL-INT-000066,2023-10-28 20:04:56,2023-10-28 20:06:31.930,,0
CAL-INT-000067,2023-10-28 09:26:27,2023-10-28 09:28:03.850,,0
CAL-INT-000078,2024-02-21 19:45:05,2024-02-21 19:45:30.230,,0
CAL-INT-000079,2024-02-22 09:32:40,2024-02-22 09:34:09.140,,0
CAL-INT-000080,2024-02-22 09:59:30,2024-02-22 10:00:13.330,,0
CAL-INT-000081,2024-02-22 09:34:24,2024-02-22 09:34:28.670,,0
CAL-INT-000092,2025-02-17 08:04:04,2025-02-17 08:04:36.310,,0
CAL-INT-000093,2024-09-12 20:59:43,2024-09-12 21:00:04.180,,0
CAL-INT-000097,2024-07-31 20:38:43,2024-07-31 20:39:49.300,,0
CAL-INT-000098,2023-12-12 08:31:37,2023-12-12 08:32:58.040,,0
CAL-INT-000108,2024-10-04 10:16:58,2024-10-04 10:17:03.310,,0
CAL-INT-000109,2024-10-04 20:48:12,2024-10-04 20:48:59.540,,0
CAL-INT-000110,2024-10-04 20:40:45,2024-10-04 20:42:12.650,,0
CAL-INT-000119,2024-09-17 09:09:12,2024-09-17 09:09:46.020,,0
CAL-INT-000120,2024-09-17 10:05:29,2024-09-17 10:07:56.360,,0
CAL-INT-000121,2024-09-18 09:00:18,2024-09-18 09:02:00.660,,0
CAL-INT-000122,2024-09-17 09:23:04,2024-09-17 09:24:10.110,,0
CAL-INT-000123,2024-09-18 19:10:09,2024-09-18 19:10:52.440,,0
CAL-INT-000124,2024-09-17 10:21:28,2024-09-17 10:23:18.030,,0
CAL-INT-000129,2025-06-06 09:44:10,2025-06-06 09:44:27.380,,0
CAL-INT-000139,2024-01-15 09:59:10,2024-01-15 10:00:44.370,,0
CAL-INT-000141,2025-06-18 20:50:44,2025-06-18 20:51:05.140,,0
CAL-INT-000142,2025-06-18 09:44:17,2025-06-18 09:44:44.150,,0
CAL-INT-000143,2025-06-18 09:56:16,2025-06-18 09:57:03.030,,0
CAL-INT-000144,2025-06-18 19:24:06,2025-06-18 19:25:19.910,,0
CAL-INT-000145,2025-06-18 09:59:54,2025-06-18 09:59:59.990,,0
CAL-INT-000156,2025-06-16 09:55:29,2025-06-16 09:57:26.880,,0
CAL-INT-000168,2024-11-22 20:03:18,2024-11-22 20:03:39.210,,0
CAL-INT-000170,2023-12-23 19:59:39,2023-12-23 20:00:40.340,,0
CAL-INT-000172,2024-01-10 09:53:59,2024-01-10 09:55:36.100,,0
CAL-INT-000173,2024-01-10 09:57:17,2024-01-10 09:59:49.820,,0
CAL-INT-000176,2023-12-20 09:50:43,2023-12-20 09:51:42.880,,0
CAL-INT-000177,2023-12-20 09:41:16,2023-12-20 09:42:36.980,,0
CAL-INT-000178,2023-12-20 08:21:37,2023-12-20 08:22:08.190,,0
CAL-INT-000189,2024-04-11 20:29:07,2024-04-11 20:31:20.880,,0
CAL-INT-000190,2024-04-11 08:00:35,2024-04-11 08:00:50.200,,0
CAL-INT-000191,2024-04-11 19:48:46,2024-04-11 19:48:50.180,,0
CAL-INT-000192,2024-04-11 08:02:11,2024-04-11 08:03:33.520,,0
CAL-INT-000193,2024-04-11 19:57:07,2024-04-11 19:59:30.360,,0
CAL-INT-000194,2024-04-11 09:16:42,2024-04-11 09:19:07.740,,0
CAL-INT-000195,2024-04-11 09:08:42,2024-04-11 09:10:18.310,,0
CAL-INT-000196,2025-04-05 20:26:40,2025-04-05 20:27:03.610,,0
CAL-INT-000197,2025-04-05 19:06:39,2025-04-05 19:08:05.300,,0
CAL-INT-000201,2025-07-18 10:58:48,2025-07-18 11:00:32.160,,0
CAL-INT-000205,2025-08-02 20:00:38,2025-08-02 20:02:29.700,,0
CAL-INT-000206,2025-01-03 10:27:34,2025-01-03 10:28:54.240,,0
CAL-INT-000207,2024-03-07 09:25:22,2024-03-07 09:27:41.240,,0
CAL-INT-000216,2024-10-17 09:27:02,2024-10-17 09:28:53.280,,0
CAL-INT-000217,2024-06-17 10:34:34,2024-06-17 10:36:51.160,,0
CAL-INT-000225,2025-04-15 20:27:52,2025-04-15 20:29:29.160,,0
CAL-INT-000226,2025-04-15 20:44:53,2025-04-15 20:45:49.470,,0
CAL-INT-000227,2025-04-15 09:24:59,2025-04-15 09:25:19.250,,0
CAL-INT-000228,2025-03-04 09:32:43,2025-03-04 09:34:37.890,,0
CAL-INT-000229,2025-03-04 09:50:48,2025-03-04 09:51:26.510,,0
CAL-INT-000230,2025-03-04 09:18:44,2025-03-04 09:19:17.720,,0
CAL-INT-000231,2025-03-04 19:56:35,2025-03-04 19:56:56.230,,0
CAL-INT-000232,2025-03-04 20:48:18,2025-03-04 20:48:33.090,,0
CAL-INT-000233,2025-03-04 09:46:12,2025-03-04 09:47:21.020,,0
CAL-INT-000234,2025-03-04 09:55:39,2025-03-04 09:58:08.010,,0
CAL-INT-000236,2025-07-12 18:15:46,2025-07-12 18:18:26.210,,0
CAL-INT-000237,2024-01-22 09:34:41,2024-01-22 09:35:34.590,,0
CAL-INT-000238,2024-03-21 09:53:30,2024-03-21 09:55:10.550,,0
CAL-INT-000239,2025-01-16 09:40:24,2025-01-16 09:41:12.670,,0
CAL-INT-000241,2025-06-10 10:37:23,2025-06-10 10:38:12.820,,0
CAL-INT-000248,2025-02-28 19:16:53,2025-02-28 19:17:44.140,,0
CAL-INT-000249,2025-02-28 09:19:06,2025-02-28 09:20:56.740,,0
CAL-INT-000250,2025-02-28 20:46:16,2025-02-28 20:46:56.180,,0
CAL-INT-000251,2024-08-03 20:29:55,2024-08-03 20:31:03.920,,0
CAL-INT-000264,2024-06-22 09:30:43,2024-06-22 09:31:43.150,,0
CAL-INT-000284,2023-09-21 10:42:07,2023-09-21 10:42:14.200,,0
CAL-INT-000286,2024-02-15 08:47:47,2024-02-15 08:50:34.610,,0
CAL-INT-000287,2024-02-15 19:18:16,2024-02-15 19:18:53.790,,0
CAL-INT-000288,2024-02-15 08:13:58,2024-02-15 08:16:11.610,,0
CAL-INT-000289,2024-10-23 09:16:19,2024-10-23 09:17:44.590,,0
CAL-INT-000291,2024-10-11 10:12:06,2024-10-11 10:13:30.230,,0
CAL-INT-000292,2024-10-11 19:13:13,2024-10-11 19:14:58.740,,0
CAL-INT-000303,2024-01-06 20:32:47,2024-01-06 20:33:14.860,,0
CAL-INT-000305,2024-12-11 19:13:33,2024-12-11 19:15:40.900,,0
CAL-INT-000314,2024-08-07 19:26:09,2024-08-07 19:27:23.470,,0
CAL-INT-000317,2024-07-04 10:51:02,2024-07-04 10:53:01.410,,0
CAL-INT-000319,2024-03-14 08:22:18,2024-03-14 08:23:45.460,,0
CAL-INT-000322,2023-12-20 19:30:17,2023-12-20 19:31:23.060,,0
CAL-INT-000323,2023-12-20 09:44:02,2023-12-20 09:44:37.720,,0
CAL-INT-000324,2023-12-20 20:29:02,2023-12-20 20:29:19.950,,0
CAL-INT-000326,2023-09-29 19:31:37,2023-09-29 19:33:10.160,,0
CAL-INT-000327,2023-09-29 20:49:38,2023-09-29 20:50:54.550,,0
CAL-INT-000328,2023-09-29 19:47:20,2023-09-29 19:48:28.630,,0
CAL-INT-000329,2023-09-29 19:30:22,2023-09-29 19:31:21.660,,0
CAL-INT-000330,2023-09-29 09:22:35,2023-09-29 09:25:08.170,,0
CAL-INT-000331,2023-09-29 09:04:45,2023-09-29 09:06:46.590,,0
CAL-INT-000334,2024-02-02 20:13:08,2024-02-02 20:16:16.480,,0
CAL-INT-000335,2024-01-23 18:15:49,2024-01-23 18:16:28.340,,0
CAL-INT-000338,2025-04-21 09:34:45,2025-04-21 09:35:16.700,,0
CAL-INT-000339,2023-11-01 09:28:55,2023-11-01 09:29:55.050,,0
CAL-INT-000340,2023-09-29 09:09:18,2023-09-29 09:10:06.680,,0
CAL-INT-000341,2024-05-08 10:49:03,2024-05-08 10:51:13.380,,0
CAL-INT-000344,2024-03-28 20:46:15,2024-03-28 20:48:17.790,,0
CAL-INT-000346,2024-01-01 19:50:19,2024-01-01 19:51:30.350,,0
CAL-INT-000348,2024-09-06 09:51:01,2024-09-06 09:52:53.450,,0
CAL-INT-000354,2024-11-06 19:05:03,2024-11-06 19:05:35.650,,0
CAL-INT-000355,2024-11-06 19:02:01,2024-11-06 19:02:54.610,,0
CAL-INT-000369,2025-04-16 08:10:15,2025-04-16 08:11:40.310,,0
CAL-INT-000370,2025-04-16 09:02:19,2025-04-16 09:03:48.330,,0
CAL-INT-000371,2025-04-16 19:26:49,2025-04-16 19:27:31.310,,0
CAL-INT-000372,2025-04-16 22:21:07,2025-04-16 22:22:50.150,,0
CAL-INT-000373,2025-04-16 20:42:20,2025-04-16 20:43:31.340,,0
CAL-INT-000378,2024-08-16 09:56:49,2024-08-16 09:57:17.710,,0
CAL-INT-000385,2025-06-03 09:04:58,2025-06-03 09:05:43.490,,0
CAL-INT-000388,2023-10-11 09:12:08,2023-10-11 09:12:17.520,,0
CAL-INT-000391,2023-10-25 21:41:02,2023-10-25 21:41:44.020,,0
CAL-INT-000393,2024-06-05 10:11:39,2024-06-05 10:14:17.580,,0
CAL-INT-000394,2024-06-04 20:17:28,2024-06-04 20:17:37.000,,0
CAL-INT-000395,2024-06-04 09:29:28,2024-06-04 09:31:06.190,,0
CAL-INT-000396,2024-06-04 09:17:44,2024-06-04 09:18:04.870,,0
CAL-INT-000397,2024-12-20 20:55:21,2024-12-20 20:57:04.880,,0
CAL-INT-000398,2024-12-20 09:55:19,2024-12-20 09:56:54.020,,0
CAL-INT-000404,2024-12-26 21:58:41,2024-12-26 22:00:28.980,,0
CAL-INT-000405,2024-12-26 20:45:27,2024-12-26 20:45:56.800,,0
CAL-INT-000406,2024-12-26 10:08:48,2024-12-26 10:09:49.690,,0
CAL-INT-000407,2024-12-26 09:10:46,2024-12-26 09:11:47.760,,0
CAL-INT-000409,2023-11-07 20:16:03,2023-11-07 20:17:43.970,,0
CAL-INT-000410,2025-07-07 09:48:09,2025-07-07 09:48:15.180,,0
