id,initialized,answered,abandoned,is_abandoned
CHA-INT-000004,2024-06-11 09:46:48,2024-06-11 09:49:17.380,,0
CHA-INT-000022,2024-04-20 09:18:29,2024-04-20 09:19:28.620,,0
CHA-INT-000023,2025-03-17 09:53:28,2025-03-17 09:54:46.900,,0
CHA-INT-000024,2025-03-17 09:37:00,2025-03-17 09:38:39.150,,0
CHA-INT-000025,2025-03-17 09:06:39,2025-03-17 09:08:02.530,,0
CHA-INT-000026,2025-03-17 20:13:03,2025-03-17 20:16:46.240,,0
CHA-INT-000027,2025-03-17 18:30:57,2025-03-17 18:32:15.270,,0
CHA-INT-000028,2025-03-17 20:18:03,2025-03-17 20:19:52.630,,0
CHA-INT-000032,2024-10-02 10:45:01,2024-10-02 10:46:21.570,,0
CHA-INT-000033,2024-10-02 09:22:28,2024-10-02 09:24:40.130,,0
CHA-INT-000035,2025-05-30 19:09:20,2025-05-30 19:10:50.290,,0
CHA-INT-000039,2023-12-19 08:40:53,2023-12-19 08:44:27.230,,0
CHA-INT-000056,2025-07-08 20:02:50,2025-07-08 20:03:17.030,,0
CHA-INT-000057,2025-07-08 09:50:31,2025-07-08 09:52:39.130,,0
CHA-INT-000058,2025-07-08 18:32:46,2025-07-08 18:34:28.520,,0
CHA-INT-000077,2024-05-17 09:24:30,2024-05-17 09:25:36.790,,0
CHA-INT-000082,2024-10-05 10:19:30,2024-10-05 10:20:15.420,,0
CHA-INT-000083,2024-10-05 09:37:06,2024-10-05 09:37:28.370,,0
CHA-INT-000087,2024-11-28 19:06:12,2024-11-28 19:07:43.830,,0
CHA-INT-000094,2025-04-01 19:06:41,2025-04-01 19:09:21.570,,0
CHA-INT-000105,2025-08-11 09:52:23,2025-08-11 09:54:40.010,,0
CHA-INT-000107,2025-04-07 19:30:28,2025-04-07 19:32:43.670,,0
CHA-INT-000125,2025-06-13 20:08:29,2025-06-13 20:10:12.480,,0
CHA-INT-000126,2025-06-14 19:49:34,2025-06-14 19:50:47.000,,0
CHA-INT-000127,2025-06-14 10:23:41,2025-06-14 10:24:26.880,,0
CHA-INT-000128,2023-10-27 19:27:45,2023-10-27 19:29:54.890,,0
CHA-INT-000130,2024-07-16 19:33:15,2024-07-16 19:34:20.800,,0
CHA-INT-000131,2024-01-17 09:35:51,2024-01-17 09:38:21.430,,0
CHA-INT-000132,2025-07-19 19:29:56,2025-07-19 19:32:12.160,,0
CHA-INT-000133,2025-07-19 09:41:57,2025-07-19 09:43:39.630,,0
CHA-INT-000134,2025-06-13 10:19:54,2025-06-13 10:20:12.200,,0
CHA-INT-000140,2025-02-28 09:03:03,2025-02-28 09:03:27.090,,0
CHA-INT-000147,2025-08-19 21:12:50,2025-08-19 21:15:33.460,,0
CHA-INT-000148,2025-08-19 21:26:09,2025-08-19 21:26:58.060,,0
CHA-INT-000155,2025-07-15 18:02:52,2025-07-15 18:04:17.450,,0
CHA-INT-000158,2023-09-23 20:01:07,2023-09-23 20:04:37.870,,0
CHA-INT-000159,2023-09-23 20:22:56,2023-09-23 20:24:22.720,,0
CHA-INT-000160,2023-09-23 09:14:07,2023-09-23 09:15:44.750,,0
CHA-INT-000161,2024-08-08 18:10:50,2024-08-08 18:13:34.680,,0
CHA-INT-000162,2024-08-08 20:40:31,2024-08-08 20:42:50.880,,0
CHA-INT-000163,2024-08-08 20:07:34,2024-08-08 20:08:52.760,,0
CHA-INT-000164,2024-08-08 09:50:01,2024-08-08 09:51:34.170,,0
CHA-INT-000166,2024-03-30 09:20:25,2024-03-30 09:22:11.390,,0
CHA-INT-000167,2024-03-30 09:36:55,2024-03-30 09:38:24.360,,0
CHA-INT-000171,2025-04-28 09:52:19,2025-04-28 09:53:48.340,,0
CHA-INT-000174,2023-10-12 09:31:30,2023-10-12 09:33:04.470,,0
CHA-INT-000175,2023-10-16 09:08:24,2023-10-16 09:09:14.800,,0
CHA-INT-000179,2024-04-14 09:10:18,2024-04-14 09:11:48.900,,0
CHA-INT-000180,2024-04-13 09:57:12,2024-04-13 09:57:40.640,,0
CHA-INT-000181,2024-04-14 09:29:50,2024-04-14 09:31:44.480,,0
CHA-INT-000198,2025-04-14 09:14:22,2025-04-14 09:16:51.420,,0
CHA-INT-000199,2025-04-14 20:19:14,2025-04-14 20:20:31.560,,0
CHA-INT-000200,2025-04-14 19:32:06,2025-04-14 19:33:39.860,,0
CHA-INT-000202,2025-04-21 19:21:25,2025-04-21 19:23:16.890,,0
CHA-INT-000203,2025-04-21 19:34:04,2025-04-21 19:34:26.110,,0
CHA-INT-000214,2025-08-16 09:52:29,2025-08-16 09:53:04.270,,0
CHA-INT-000215,2025-08-16 09:00:39,2025-08-16 09:02:01.190,,0
CHA-INT-000218,2025-05-17 20:33:26,2025-05-17 20:35:03.680,,0
CHA-INT-000223,2024-02-05 08:32:51,2024-02-05 08:34:55.090,,0
CHA-INT-000240,2024-11-18 08:56:10,2024-11-18 08:56:58.360,,0
CHA-INT-000252,2025-03-04 09:23:40,2025-03-04 09:25:28.110,,0
CHA-INT-000253,2025-03-04 20:54:51,2025-03-04 20:57:55.670,,0
CHA-INT-000254,2025-03-04 09:59:42,2025-03-04 10:00:40.100,,0
CHA-INT-000261,2024-12-31 09:34:29,2024-12-31 09:35:27.930,,0
CHA-INT-000262,2024-12-31 10:25:36,2024-12-31 10:26:55.120,,0
CHA-INT-000263,2024-12-31 09:54:13,2024-12-31 09:54:41.380,,0
CHA-INT-000265,2024-01-13 09:52:10,2024-01-13 09:55:21.420,,0
CHA-INT-000266,2023-09-20 10:23:04,2023-09-20 10:25:32.630,,0
CHA-INT-000274,2024-08-23 09:38:22,2024-08-23 09:42:25.200,,0
CHA-INT-000275,2024-08-23 19:42:37,2024-08-23 19:43:19.140,,0
CHA-INT-000276,2024-08-24 09:52:38,2024-08-24 09:53:37.050,,0
CHA-INT-000277,2024-08-23 19:26:07,2024-08-23 19:27:40.670,,0
CHA-INT-000278,2024-08-23 10:40:49,2024-08-23 10:44:02.470,,0
CHA-INT-000279,2025-05-06 10:47:27,2025-05-06 10:51:27.960,,0
CHA-INT-000280,2025-05-07 09:53:55,2025-05-07 09:55:53.610,,0
CHA-INT-000283,2024-08-05 09:01:33,2024-08-05 09:04:14.040,,0
CHA-INT-000285,2025-01-12 09:00:00,2025-01-12 09:01:18.880,,0
CHA-INT-000293,2025-04-24 08:17:31,2025-04-24 08:19:57.480,,0
CHA-INT-000295,2024-06-13 09:23:27,2024-06-13 09:24:47.810,,0
CHA-INT-000296,2024-06-13 09:48:58,2024-06-13 09:51:38.880,,0
CHA-INT-000297,2024-06-13 18:40:47,2024-06-13 18:44:07.810,,0
CHA-INT-000298,2024-06-13 20:20:25,2024-06-13 20:22:36.810,,0
CHA-INT-000299,2024-06-13 09:36:53,2024-06-13 09:37:03.910,,0
CHA-INT-000300,2024-10-22 09:27:26,2024-10-22 09:30:36.630,,0
CHA-INT-000301,2024-10-22 09:36:05,2024-10-22 09:37:47.920,,0
CHA-INT-000302,2024-10-22 18:34:10,2024-10-22 18:34:57.780,,0
CHA-INT-000306,2024-08-03 19:29:41,2024-08-03 19:32:35.370,,0
CHA-INT-000332,2024-11-02 09:20:14,2024-11-02 09:20:40.700,,0
CHA-INT-000333,2024-11-02 10:52:53,2024-11-02 10:53:38.580,,0
CHA-INT-000343,2025-06-07 19:14:38,2025-06-07 19:17:49.430,,0
CHA-INT-000345,2024-04-20 09:08:16,2024-04-20 09:08:42.750,,0
CHA-INT-000349,2023-09-18 09:20:58,2023-09-18 09:22:37.200,,0
CHA-INT-000350,2023-09-18 19:10:58,2023-09-18 19:11:41.920,,0
CHA-INT-000351,2023-09-18 19:09:14,2023-09-18 19:11:05.230,,0
CHA-INT-000352,2023-09-18 19:59:46,2023-09-18 20:00:33.900,,0
CHA-INT-000353,2023-09-18 10:56:16,2023-09-18 10:58:14.120,,0
CHA-INT-000360,2023-09-21 19:28:22,2023-09-21 19:29:17.970,,0
CHA-INT-000361,2023-09-21 19:46:47,2023-09-21 19:47:59.070,,0
CHA-INT-000362,2023-09-21 20:44:51,2023-09-21 20:48:20.210,,0
CHA-INT-000363,2024-04-20 09:53:36,2024-04-20 09:54:24.200,,0
CHA-INT-000374,2024-04-15 20:51:03,2024-04-15 20:52:22.980,,0
CHA-INT-000375,2024-04-15 19:33:52,2024-04-15 19:35:08.170,,0
CHA-INT-000376,2024-11-23 21:43:01,2024-11-23 21:43:46.470,,0
CHA-INT-000377,2024-11-23 20:00:02,2024-11-23 20:00:51.600,,0
CHA-INT-000381,2024-06-01 20:22:00,2024-06-01 20:23:49.220,,0
CHA-INT-000382,2024-06-01 08:12:54,2024-06-01 08:13:35.240,,0
CHA-INT-000383,2024-06-01 09:25:05,2024-06-01 09:26:18.160,,0
CHA-INT-000384,2024-03-27 19:51:13,2024-03-27 19:55:04.860,,0
CHA-INT-000386,2024-09-17 21:02:34,2024-09-17 21:05:08.780,,0
CHA-INT-000387,2024-12-24 10:05:30,2024-12-24 10:07:46.690,,0
CHA-INT-000389,2025-05-30 10:30:43,2025-05-30 10:31:49.850,,0
