eval_id,interaction_id,qa_score,customer_critical,business_critical,compliance_critical
QA-000001,INT-031089,0.95,0,0,0
QA-000002,INT-023504,0.87,0,0,0
QA-000003,INT-031092,0.92,0,0,0
QA-000004,INT-042079,0.91,0,0,0
QA-000005,INT-025514,0.0,0,1,0
QA-000006,INT-036893,0.0,0,0,1
QA-000007,INT-024106,0.88,0,0,0
QA-000008,INT-027279,0.92,0,0,0
QA-000009,INT-026686,0.95,0,0,0
QA-000010,INT-034666,0.85,0,0,0
QA-000011,INT-029865,1.0,0,0,0
QA-000012,INT-004810,1.0,0,0,0
QA-000013,INT-001795,0.86,0,0,0
QA-000014,INT-024280,1.0,0,0,0
QA-000015,INT-001450,0.91,0,0,0
QA-000016,INT-030727,0.0,1,0,0
QA-000017,INT-014414,0.87,0,0,0
QA-000018,INT-018735,0.88,0,0,0
QA-000019,INT-027638,0.9,0,0,0
QA-000020,INT-043342,1.0,0,0,0
QA-000021,INT-008891,0.0,1,0,0
QA-000022,INT-037742,0.94,0,0,0
QA-000023,INT-015702,0.99,0,0,0
QA-000024,INT-036655,0.0,1,0,0
QA-000025,INT-035398,0.92,0,0,0
QA-000026,INT-032431,0.91,0,0,0
QA-000027,INT-024887,1.0,0,0,0
QA-000028,INT-045797,0.0,1,0,0
QA-000029,INT-012313,0.0,1,0,0
QA-000030,INT-007283,1.0,0,0,0
QA-000031,INT-011205,0.9,0,0,0
QA-000032,INT-005987,0.0,0,1,0
QA-000033,INT-008198,0.82,0,0,0
QA-000034,INT-017303,0.0,1,0,0
QA-000035,INT-012775,0.94,0,0,0
QA-000036,INT-019855,0.91,0,0,0
QA-000037,INT-036708,0.0,0,0,1
QA-000038,INT-025245,0.95,0,0,0
QA-000039,INT-036752,0.86,0,0,0
QA-000040,INT-025246,0.95,0,0,0
QA-000041,INT-020492,0.88,0,0,0
QA-000042,INT-043525,0.0,0,1,0
QA-000043,INT-036022,0.95,0,0,0
QA-000044,INT-014000,0.0,1,0,0
QA-000045,INT-030237,0.0,1,0,0
QA-000046,INT-031538,0.91,0,0,0
QA-000047,INT-015350,0.99,0,0,0
QA-000048,INT-018295,0.92,0,0,0
QA-000049,INT-040467,0.86,0,0,0
QA-000050,INT-040429,0.93,0,0,0
QA-000051,INT-029938,0.0,0,1,0
QA-000052,INT-044674,1.0,0,0,0
QA-000053,INT-030037,0.9,0,0,0
QA-000054,INT-021714,0.97,0,0,0
QA-000055,INT-044239,0.0,1,0,0
QA-000056,INT-012182,0.79,0,0,0
QA-000057,INT-046932,0.91,0,0,0
QA-000058,INT-001272,0.78,0,0,0
QA-000059,INT-018296,1.0,0,0,0
QA-000060,INT-023980,1.0,0,0,0
QA-000061,INT-039152,1.0,0,0,0
QA-000062,INT-004345,0.89,0,0,0
QA-000063,INT-029563,0.95,0,0,0
QA-000064,INT-011900,1.0,0,0,0
QA-000065,INT-041502,0.86,0,0,0
QA-000066,INT-025113,0.95,0,0,0
QA-000067,INT-001683,0.89,0,0,0
QA-000068,INT-005176,0.97,0,0,0
QA-000069,INT-032366,0.99,0,0,0
QA-000070,INT-018392,1.0,0,0,0
QA-000071,INT-037596,0.98,0,0,0
QA-000072,INT-018369,0.0,1,0,0
QA-000073,INT-031953,0.0,0,1,0
QA-000074,INT-005175,0.9,0,0,0
QA-000075,INT-037466,0.93,0,0,0
QA-000076,INT-026581,0.95,0,0,0
QA-000077,INT-033336,0.97,0,0,0
QA-000078,INT-040573,0.94,0,0,0
QA-000079,INT-015581,0.96,0,0,0
QA-000080,INT-005477,0.92,0,0,0
QA-000081,INT-031789,0.81,0,0,0
QA-000082,INT-037600,0.91,0,0,0
QA-000083,INT-042059,0.94,0,0,0
QA-000084,INT-036769,0.82,0,0,0
QA-000085,INT-026619,0.94,0,0,0
QA-000086,INT-026832,0.0,0,1,0
QA-000087,INT-024143,0.92,0,0,0
QA-000088,INT-046668,0.98,0,0,0
QA-000089,INT-002507,0.0,0,1,0
QA-000090,INT-014903,0.0,0,0,1
QA-000091,INT-037664,0.92,0,0,0
QA-000092,INT-028547,1.0,0,0,0
QA-000093,INT-045560,0.9,0,0,0
QA-000094,INT-016001,1.0,0,0,0
QA-000095,INT-039392,0.98,0,0,0
QA-000096,INT-028876,0.84,0,0,0
QA-000097,INT-031099,0.0,1,0,0
QA-000098,INT-035600,0.0,0,1,0
QA-000099,INT-017559,0.87,0,0,0
QA-000100,INT-025359,0.0,1,0,0
QA-000101,INT-017233,0.91,0,0,0
QA-000102,INT-035603,0.9,0,0,0
QA-000103,INT-004183,0.93,0,0,0
QA-000104,INT-039391,0.89,0,0,0
QA-000105,INT-033104,0.98,0,0,0
QA-000106,INT-011902,0.96,0,0,0
QA-000107,INT-006078,0.0,1,0,0
QA-000108,INT-006796,0.91,0,0,0
QA-000109,INT-039235,0.89,0,0,0
QA-000110,INT-021544,0.87,0,0,0
QA-000111,INT-011250,0.9,0,0,0
QA-000112,INT-027839,0.98,0,0,0
QA-000113,INT-028080,0.86,0,0,0
