ticket_id,origin,symptom_cat,symptom,status,product,ticket_owner,language,fcr,escalated,ticket_created,ticket_closed,last_interaction_time,resolution_after_last_interaction_hours,lifecycle_hours
TKT-00001,phone,troubleshooting,power supply,closed,amplifier,8,german,0,1,2024-03-04 17:51:15,2024-03-06 17:29:50.000,2024-03-04 19:59:50.000,45.5,47.643055555555556
TKT-00002,phone,finance,unsuccessful payment,closed,turntable,9,german,0,0,2025-03-13 11:09:58,2025-03-16 07:24:38.200,2025-03-13 21:24:38.200,58.0,68.2445
TKT-00003,chat,troubleshooting,bluetooth connection,closed,on-ear_headphones,7,german,1,0,2024-06-11 11:06:11,2024-06-13 07:17:48.000,2024-06-11 08:47:48.000,46.5,44.19361111111111
TKT-00004,email,rma,replacement,closed,eardrop_headphones,12,english,0,0,2024-06-06 16:11:00,2024-06-10 06:50:33.400,2024-06-06 18:50:33.400,84.0,86.65927777777779
TKT-00005,email,product,product consulting / information,closed,speaker_flagship,12,english,1,0,2024-01-03 13:46:13,2024-01-05 04:38:46.200,2024-01-03 18:38:46.200,34.0,38.875888888888895
TKT-00006,email,finance,payment details,closed,turntable,5,english,0,0,2023-11-14 09:05:27,2023-11-17 18:21:23.000,2023-11-14 20:21:23.000,70.0,81.26555555555555
TKT-00007,email,rma,replacement,closed,on-ear_headphones,8,english,0,0,2023-10-31 00:47:02,2023-11-03 08:28:27.000,2023-10-31 10:28:27.000,70.0,79.69027777777778
TKT-00008,email,troubleshooting,power supply,new,eardrop_headphones,2,german,0,0,2023-12-20 03:40:44,,,,
TKT-00009,phone,troubleshooting,bluetooth connection,closed,on-ear_headphones,10,german,1,0,2024-01-06 01:22:43,2024-01-08 05:13:40.800,2024-01-06 09:43:40.800,43.5,51.84938888888889
TKT-00010,phone,rma,replacement,closed,amplifier,10,german,0,1,2024-10-11 04:11:24,2024-10-15 11:24:07.200,2024-10-11 09:24:07.200,98.0,103.212
TKT-00011,chat,finance,unsuccessful payment,closed,speaker_40wt,2,english,0,0,2024-04-20 22:11:29,2024-04-24 03:29:31.600,2024-04-21 18:29:31.600,57.0,77.30072222222222
TKT-00012,chat,rma,replacement,closed,on-ear_headphones,9,german,0,0,2025-03-17 17:31:47,2025-03-20 18:41:42.400,2025-03-17 21:11:42.400,69.5,73.1653888888889
TKT-00013,phone,troubleshooting,power supply,closed,eardrop_headphones,6,english,0,0,2024-07-05 20:32:15,2024-07-08 06:01:15.600,2024-07-06 22:01:15.600,32.0,57.4835
TKT-00014,email,troubleshooting,power supply,closed,on-ear_headphones,4,english,0,0,2023-12-09 16:26:32,2023-12-11 17:48:06.600,2023-12-09 20:18:06.600,45.5,49.359611111111114
TKT-00015,chat,troubleshooting,bluetooth connection,closed,speaker_40wt,3,french,1,0,2024-10-02 11:28:25,2024-10-04 02:29:02.200,2024-10-02 09:59:02.200,40.5,39.010333333333335
TKT-00016,phone,product,product consulting / information,closed,speaker_40wt,7,french,1,0,2024-03-08 10:35:09,2024-03-09 06:59:08.800,2024-03-08 20:29:08.800,10.5,20.399944444444444
TKT-00017,chat,product,product consulting / information,closed,eardrop_headphones,7,german,1,0,2025-05-30 06:29:55,2025-05-31 19:37:19.600,2025-05-30 09:37:19.600,34.0,37.1235
TKT-00018,email,troubleshooting,power supply,closed,turntable,11,german,0,0,2024-08-20 05:59:58,2024-08-22 11:41:34.400,2024-08-20 22:11:34.400,37.5,53.693444444444445
TKT-00019,email,rma,replacement,closed,on-ear_headphones,11,english,0,1,2025-04-12 21:17:49,2025-04-15 18:12:18.600,2025-04-13 20:42:18.600,45.5,68.90822222222222
TKT-00020,chat,complaint,service complaint,closed,eardrop_headphones,2,english,0,0,2023-12-19 08:27:09,2023-12-20 17:18:38.600,2023-12-19 19:48:38.600,21.5,32.858222222222224
TKT-00021,phone,rma,replacement,closed,speaker_40wt,7,german,0,0,2025-04-24 10:30:31,2025-04-28 07:41:06.200,2025-04-24 20:41:06.200,83.0,93.17644444444444
TKT-00022,phone,logistics,lost package,closed,speaker_20wt,7,german,0,0,2024-04-18 14:53:53,2024-04-20 01:44:19.800,2024-04-18 19:14:19.800,30.5,34.84077777777778
TKT-00023,email,complaint,product complaint,closed,eardrop_headphones,8,french,1,0,2023-12-01 08:44:30,2023-12-04 05:19:35.400,2023-12-01 09:19:35.400,68.0,68.58483333333334
TKT-00024,phone,rma,return,closed,turntable,2,english,0,0,2024-01-11 15:13:03,2024-01-12 15:52:15.400,2024-01-11 19:22:15.400,20.5,24.653444444444442
TKT-00025,email,finance,payment details,closed,on-ear_headphones,10,english,0,0,2025-05-22 17:35:04,2025-05-24 19:59:12.000,2025-05-22 20:29:12.000,47.5,50.40222222222222
TKT-00026,phone,logistics,status of the order,closed,eardrop_headphones,4,english,0,0,2024-11-07 20:11:26,2024-11-09 10:29:58.800,2024-11-08 09:29:58.800,25.0,38.30911111111111
TKT-00027,chat,logistics,lost package,closed,amplifier,1,english,0,0,2025-07-08 10:43:44,2025-07-10 00:42:00.200,2025-07-08 19:12:00.200,29.5,37.97116666666667
TKT-00028,email,finance,payment details,closed,on-ear_headphones,8,french,0,0,2025-08-02 04:00:27,2025-08-05 16:30:48.400,2025-08-02 21:00:48.400,67.5,84.50594444444445
TKT-00029,email,troubleshooting,power supply,closed,speaker_40wt,8,english,0,0,2025-02-20 07:22:12,2025-02-22 05:18:56.000,2025-02-20 09:48:56.000,43.5,45.94555555555556
TKT-00030,phone,product,product consulting / information,closed,speaker_20wt,11,german,1,0,2024-10-12 13:17:38,2024-10-13 17:23:45.000,2024-10-12 20:23:45.000,21.0,28.101944444444445
TKT-00031,phone,logistics,status of the order,closed,turntable,7,english,0,0,2024-04-22 22:18:00,2024-04-26 08:40:33.000,2024-04-23 20:40:33.000,60.0,82.37583333333333
TKT-00032,phone,product,product consulting / information,closed,on-ear_headphones,1,german,1,0,2024-12-11 13:56:00,2024-12-13 01:07:47.000,2024-12-11 19:07:47.000,30.0,35.19638888888889
TKT-00033,phone,logistics,status of the order,closed,eardrop_headphones,11,french,0,0,2023-10-28 20:17:24,2023-10-31 03:01:18.800,2023-10-29 09:31:18.800,41.5,54.73188888888888
